Marca,Modelo,Precio_usd
Ford,Ecosport,16452.086462042083
Ford,Ecosport,20000.0
Chevrolet,Trailblazer,49339.38545129339
Ford,Ecosport,12000.0
Jeep,Renegade,20248.72179943641
Volkswagen,Tiguan Allspace,26154.5989909387
Volkswagen,Tiguan,10500.0
BMW,X1,36500.0
BMW,X1,16000.0
Volkswagen,Taos,28263.840845046656
Chevrolet,Tracker,16705.195484535037
JAC,S2,15186.541349577308
Ford,Ecosport,9500.0
Volkswagen,Tiguan Allspace,44631.55763292442
Peugeot,2008,14500.0
Nissan,Kicks,22800.0
Ford,Ecosport,11389.90601218298
Jeep,Renegade,30794.931069976206
Peugeot,2008,26703.001873006768
Citroën,C3 Aircross,17548.89222617822
Jeep,Renegade,31461.451495874324
Volkswagen,Touareg,24500.0
Renault,Captur,16873.934832863677
Porsche,Cayenne,45900.0
Chevrolet,Tracker,23201.660395187555
Toyota,SW4,48900.0
Chevrolet,Tracker,17042.674181192313
Fiat,Pulse,32500.0
Nissan,X-Terra,13800.0
Toyota,SW4,59986.83833083037
Honda,HR-V,25000.0
Toyota,Corolla Cross,38810.050115586455
Jeep,Compass,26913.92605841756
Volkswagen,Taos,34591.566407370534
Chery,Tiggo,10124.360899718205
Toyota,SW4,44200.0
Chevrolet,Equinox,24635.944855980968
Nissan,X-Trail,30000.0
Toyota,RAV4,20000.0
Chery,Tiggo,8858.81578725343
Honda,CR-V,14764.692978755716
Jeep,Compass,14342.844607934125
Citroën,C4 Cactus,19405.025057793227
Volkswagen,T-Cross,26407.708013431653
Mercedes-Benz,Clase ML,11000.0
Ford,Ecosport,15861.498742891856
Fiat,500X,18300.0
Ford,Territory,37122.65663230009
Jeep,Compass,37881.98369977895
Chery,Tiggo,11811.754383004572
Jeep,Renegade,24045.35713683074
Ford,Ecosport,13414.778192126621
Renault,Duster,12900.0
Jeep,Renegade,19151.83166562611
Nissan,Kicks,25732.750620117105
Peugeot,2008,19000.0
Fiat,Pulse,10546.209270539797
Toyota,SW4,67800.0
Citroën,C3 Aircross,25226.532575131194
Chevrolet,Tracker,13499.147866290941
BMW,X5,79900.0
Peugeot,2008,21936.115282722778
Suzuki,Vitara,7000.0
Citroën,C4 Cactus,23622.665069267503
Audi,Q8,125000.0
Peugeot,2008,15000.0
Ford,Territory,41219.648009719385
Peugeot,2008,33277.08688389046
Honda,CR-V,16900.0
Renault,Duster,13700.0
Toyota,Land Cruiser,20000.0
Porsche,Macan,211000.0
Ford,Kuga,23000.0
Honda,HR-V,24500.0
Jeep,Commander,29529.385957511433
Jeep,Compass,47322.95023876618
Jeep,Grand Cherokee,87000.0
Jeep,Grand Cherokee,14900.0
Jeep,Renegade,23538.885982822336
BAIC,X55,44900.0
Peugeot,2008,16300.0
Peugeot,2008,17548.89222617822
Chevrolet,Tracker,13000.0
Kia,Soul,13000.0
Ford,Ecosport,20333.09147360073
Jeep,Renegade,26998.295732581882
Citroën,C3,23066.668916524646
Nissan,Kicks,26913.92605841756
Audi,Q5,27900.0
Audi,Q5,35900.0
Jeep,Compass,24382.83583348801
Hyundai,Tucson,11000.0
Audi,Q2,28000.0
Audi,Q8,185000.0
Jeep,Renegade,21500.0
Hyundai,Tucson,34591.566407370534
Volkswagen,T-Cross,29107.53758668984
Land Rover,Range Rover,34000.0
Chery,Tiggo 2,14764.692978755716
Nissan,Kicks,26913.92605841756
Chevrolet,Tracker,16452.086462042083
Nissan,X-Trail,39653.66248755547
Chevrolet,Tracker,24467.20466395559
Toyota,Corolla Cross,35857.11151983531
Dodge,Journey,13920.996237112533
Jeep,Grand Cherokee,15000.0
Audi,Q5,29000.0
BMW,X6,42000.0
Peugeot,2008,34591.566407370534
Hyundai,Tucson,27420.144103403472
Toyota,Corolla Cross,31500.0
Kia,Sorento,28000.0
Hyundai,Galloper,18000.0
Peugeot,2008,14174.105259605487
Jeep,Compass,29529.385957511433
Dodge,Journey,13500.0
Volkswagen,Tiguan,13800.0
Jeep,Wrangler,43000.0
Peugeot,2008,32144.8458566053
Volkswagen,Tiguan,18476.958641985726
Jeep,Renegade,30457.452373318934
Kia,Sorento,36700.808261478494
Ford,Ecosport,15423.620133979042
Audi,Q2,49300.0
Renault,Duster,15500.0
Chevrolet,Trailblazer,48933.567318563015
Renault,Duster,11389.90601218298
Volkswagen,Taos,30500.0
Volkswagen,Taos,39223.461518991615
Volkswagen,Nivus,23960.98746266642
Volkswagen,Nivus,26626.208595582404
Peugeot,2008,24467.20550765233
Jeep,Commander,42100.46740799487
Renault,Duster,16865.497865447243
Renault,Captur,22000.0
BMW,X6,36000.0
Renault,Duster,12655.451124647756
Volkswagen,Tiguan,47668.02473718847
Nissan,Kicks,34044.85091878575
BMW,X6,41000.0
Volkswagen,Taos,37118.43814859187
Renault,Captur,14764.692978755716
Volkswagen,Taos,32482.320334778866
Ford,Territory,39991.225553886914
Volkswagen,Taos,32904.17292408417
Kia,Soul,9800.0
Citroën,C4 Cactus,12233.602753826164
Toyota,Hilux SW4,55000.0
Jeep,Compass,35426.82618159729
Renault,Duster,27023.606634831176
Peugeot,2008,13500.0
Chery,Tiggo,9111.924809746384
BMW,X1,35000.0
Chevrolet,Tracker,11811.754383004572
Kia,Soul,12233.602753826164
Toyota,SW4,66500.0
Jeep,Renegade,21514.266911901188
Volkswagen,Taos,37207.0263064644
Peugeot,3008,29529.385957511433
Volkswagen,T-Cross,29951.234328333023
Peugeot,2008,15608.3897203989
Ford,Ecosport,18139.47994532845
Volkswagen,Taos,32060.476182440983
Jeep,Compass,38388.20174476486
Ford,Ecosport,23243.845232269712
Ford,Ecosport,15102.17167541299
Volkswagen,Nivus,22779.81202436596
Chevrolet,Equinox,84369.67332062163
Chevrolet,Tracker,18552.89134873361
Nissan,X-Trail,38725.68044142213
Chevrolet,Tracker,22315.01780200125
Chevrolet,Tracker,25000.0
Peugeot,2008,12655.451124647756
Citroën,C3 Aircross,25099.97806388472
Honda,HR-V,33900.0
Fiat,Pulse,21851.74560855846
SsangYong,Musso,12000.0
Renault,Duster,16873.934832863677
Volkswagen,Tiguan Allspace,26576.44736176029
Peugeot,2008,15608.3897203989
Nissan,Kicks,21500.0
Toyota,Corolla Cross,37500.0
Peugeot,2008,16030.238091220492
Audi,Q7,45000.0
Peugeot,3008,25302.465281879082
Volkswagen,T-Cross,26576.44736176029
Renault,Duster,13920.996237112533
Fiat,Pulse,22779.81202436596
Ford,Ecosport,16705.195484535037
Jeep,Compass,37671.05951436816
Nissan,Kicks,18476.958641985726
Volkswagen,Taos,37375.76565479304
Peugeot,2008,16789.56515869936
Renault,Duster,14174.105259605487
Jeep,Renegade,31950.79560602737
Toyota,SW4,52000.0
Hyundai,Santa Fe,14001.0
Peugeot,2008,29770.9793631777
Chevrolet,Tracker,25732.750620117105
Toyota,Corolla Cross,32313.585204933937
Chery,Tiggo 5,16800.0
Renault,Duster,15500.0
Ford,Ecosport,13414.778192126621
Nissan,Kicks,24467.20550765233
Audi,Q3,24045.35713683074
BMW,X6,189900.0
Chevrolet,Tracker,25310.90140559877
Citroën,C4 Cactus,20248.72179943641
Ford,Ecosport,14764.692978755716
Volkswagen,T-Cross,21700.0
Peugeot,2008,26429.222280343554
Renault,Koleos,10124.360899718205
Toyota,Hilux SW4,53152.89472352058
Peugeot,2008,28685.94232489074
Hyundai,Tucson,9500.0
Jeep,Renegade,31638.627811619393
Alfa Romeo,Stelvio,86000.0
Mercedes-Benz,Clase GLA,27000.0
Volkswagen,Taos,37375.76565479304
Nissan,Kicks,27200.0
Hyundai,Santa Fe,18561.328316150044
Jeep,Renegade,21008.048866915276
Toyota,Hilux SW4,29000.0
Jeep,Grand Cherokee,19900.0
Audi,Q3,62000.0
Ford,Ecosport,20670.570170258
Jeep,Renegade,21514.266911901188
Toyota,Corolla Cross,33747.869665727354
Peugeot,2008,34760.30575569917
Volkswagen,T-Cross,24889.053878473922
Chevrolet,Tracker,27673.253125896426
Ford,Ecosport,7800.0
Kia,Soul,11811.754383004572
Ford,Ecosport,13920.996237112533
Chevrolet,Tracker,14258.474933769807
Citroën,C3,21008.048866915276
Renault,Duster,15200.0
Jeep,Compass,25000.0
Ford,Ecosport,8900.0
Citroën,C3 Aircross,25732.750620117105
Peugeot,2008,10124.360899718205
Renault,Duster,9111.924809746384
Citroën,C3 Aircross,25985.85964261006
Jeep,Renegade,19742.5037544505
Volkswagen,Taos,39231.89848640805
Chevrolet,Tracker,14000.0
Volkswagen,Tiguan,47500.12655451125
Volkswagen,Tiguan,12500.0
Toyota,RAV4,68880.0
Honda,CR-V,19826.873428614817
Mercedes-Benz,Clase GLA,42000.0
Toyota,Corolla Cross,37544.50500312168
Audi,Q3,56500.0
Honda,HR-V,23000.0
Renault,Duster,15800.0
Jeep,Commander,44715.92730708874
Renault,Duster,12486.71177631912
Volkswagen,T-Cross,21936.115282722778
Volkswagen,Nivus,27167.03508091052
Hyundai,Tucson,23623.508766009145
Honda,CR-V,13500.0
Audi,Q7,25000.0
Nissan,Kicks,29993.250426066854
Suzuki,Vitara,17500.0
Jeep,Compass,14764.692978755716
Audi,Q3,29107.53758668984
Renault,Duster,18139.47994532845
Fiat,Pulse,23032.92104685892
Toyota,RAV4,39990.0
Ford,Ecosport,16536.4561362064
Volkswagen,Tiguan,21000.0
Jeep,Grand Cherokee,17500.0
Toyota,Corolla Cross,32060.476182440983
Volkswagen,Tiguan,18500.0
Hyundai,Creta,35000.0
BMW,X1,35000.0
Renault,Duster,25479.64159762415
Jeep,Grand Cherokee,75000.0
Citroën,C4 Cactus,14990.0
Chery,Tiggo,11558.645360511618
Audi,Q2,51500.0
Citroën,C3 Aircross,24340.650996405853
Volkswagen,Nivus,24298.466159323692
Renault,Duster,21683.006260229824
Toyota,Corolla Cross,35992.10299849822
Peugeot,2008,17295.783203685267
Citroën,C4 Cactus,20248.72179943641
Toyota,SW4,57371.3784317365
Suzuki,Grand Vitara,10000.0
Hyundai,Tucson,15692.759394563218
Audi,Q3,38500.0
Ford,Ecosport,12486.71177631912
Chevrolet,Equinox,25310.902249295512
Mercedes-Benz,Clase GLE,59000.0
Hyundai,Tucson,26000.0
Hyundai,Tucson,13583.51754045526
Toyota,SW4,58000.0
Volkswagen,Tiguan,12149.233079661846
Renault,Captur,16800.0
Volkswagen,T-Cross,28179.471170882338
Ford,Territory,43000.0
Volkswagen,Nivus,23623.508766009145
Jeep,Cherokee,15000.0
BMW,X1,21000.0
Volkswagen,Nivus,28187.90813829877
BMW,X6,45000.0
Chevrolet,Tracker,16500.0
Toyota,SW4,62264.819533266964
Honda,HR-V,26900.0
Mercedes-Benz,Clase GLA,65000.0
Fiat,500X,19000.0
Ford,Ecosport,15355.280697905944
Peugeot,2008,33326.02129490576
Ford,Ecosport,16367.716787877765
Citroën,C3 Aircross,24467.20550765233
BMW,X3,137900.0
Toyota,Corolla Cross,27757.622800060748
Renault,Duster,13414.778192126621
Audi,Q5,16500.0
Chevrolet,Tracker,25670.232691561345
Toyota,Corolla Cross,36900.0
Audi,Q5,19900.0
Ford,Ecosport,13414.778192126621
Honda,HR-V,22695.442350201643
Renault,Duster,15608.3897203989
Volkswagen,T-Cross,21514.266911901188
Chevrolet,Tracker,23201.660395187555
Chery,Tiggo 3,15186.541349577308
Jeep,Compass,34000.978688220304
Chevrolet,Tracker,13500.0
Chevrolet,Tracker,21092.418541079594
Land Rover,Discovery,36900.0
Fiat,Pulse,22611.072676037325
Toyota,Hilux SW4,46403.32079037511
Volkswagen,Nivus,24045.35713683074
Audi,Q7,32500.0
Jeep,Wrangler,37900.0
Jeep,Renegade,20500.0
Honda,HR-V,18500.0
Nissan,Kicks,21050.064964649107
Ford,Ecosport,14595.953630427079
Toyota,Hilux SW4,16452.086462042083
Renault,Duster,14334.407640517693
Citroën,C3 Aircross,28516.949867539613
Chevrolet,Equinox,27673.253125896426
Nissan,Kicks,28685.68921586825
Audi,Q5,21900.0
Jeep,Renegade,19000.0
Renault,Duster,13499.147866290941
Honda,HR-V,22357.96365354437
Jeep,Renegade,31216.7794407978
Chevrolet,Tracker,17295.783203685267
Chevrolet,Trailblazer,52393.56765604171
Chery,Tiggo 3,14000.0
Volkswagen,Nivus,18462.61579737779
Hyundai,Tucson,15700.0
Volkswagen,Taos,31301.149114962118
Kia,Soul,13000.0
Volkswagen,Taos,30457.452373318934
BMW,X5,19990.0
Toyota,Corolla Cross,39431.85461417748
Volkswagen,Taos,30373.082699154616
Volvo,XC60,13500.0
Volkswagen,Taos,35900.0
Chevrolet,Tracker,21936.115282722778
Volkswagen,T-Cross,20248.72179943641
Chery,Tiggo 5,15945.868417056174
Toyota,Corolla Cross,39569.37718306532
Volkswagen,Tiguan,30000.0
